new_time,sound_pressure_level [dba],indoor_relative_humidity [%],pm2.5 [mu_g/m3],indoor_co2 [ppm],wifi_connected_devices [number],temp_setpoint [Celsius],baromatic_pressure [hPa],outdoor_co2 [ppm],air_temperature [Celsius]
2021-09-07 10:20:00,56.97333145,46.20733261,1.899999976,631.166687,3,23.3,1006.099976,472.8722229,23.18700027
2021-09-07 10:25:00,57.18333435,45.85666656,1.866666675,604.0999756,4,23.6,1006.200012,473.2919312,23.19099998
2021-09-07 10:30:00,57.47999954,45.90066528,1.566666722,572.5666504,2,23.6,1006.200012,476.6900024,23.09566689
2021-09-07 10:35:00,57.40000153,45.98666763,1.833333373,555.833313,3,23.6,1006.299988,476.6933594,23.07733345
2021-09-07 10:40:00,58.31071472,46.07607269,1.642857194,544.4642944,2,23.6,1006.400024,476.8737488,23.05750084
2021-09-07 10:45:00,57.88333511,45.90333176,1.566666722,538.0,2,23.4,1006.400024,480.643158,23.21699905
2021-09-07 10:50:00,57.45333481,46.06833267,1.366666675,539.5999756,3,23.3,1006.599976,478.8761292,23.16633415
2021-09-07 10:55:00,57.51333237,45.90200043,1.366666675,539.333313,3,23.3,1006.599976,477.0898132,23.21966743
2021-09-07 11:00:00,56.95999908,45.97533417,1.433333278,538.9666748,4,23.2,1006.400024,474.69104,23.14966583
2021-09-07 11:05:00,57.15861893,45.89207077,1.379310369,533.1724243,3,23.3,1006.299988,474.6911316,23.14241409
2021-09-07 11:10:00,56.91333389,45.69933319,1.600000024,527.333313,3,23.3,1006.299988,476.2902832,23.18566704
2021-09-07 11:15:00,57.0933342,45.89266586,1.333333373,524.666687,4,23.3,1006.299988,475.4909668,23.08766747
2021-09-07 11:20:00,57.01666641,45.88700104,1.5,522.2999878,2,23.3,1006.099976,476.2839355,23.09366608
2021-09-07 11:25:00,57.01333237,45.63800049,1.366666675,517.0999756,3,23.3,1006.099976,477.6896667,23.1123333
2021-09-07 11:30:00,57.45862198,45.44413757,1.482758641,516.0,1,23.3,1006.099976,477.4897461,23.19413757
2021-09-07 11:35:00,60.41379166,45.3851738,1.448275805,511.1034546,3,23.4,1006.099976,477.0965576,23.19068909
2021-09-07 11:40:00,57.51333237,45.66433334,1.5,513.0333252,1,23.6,1005.900024,477.0835266,23.02366638
2021-09-07 11:45:00,57.17666626,45.90366745,1.366666675,506.2999878,2,23.6,1005.900024,475.0908508,22.89366722
2021-09-07 11:50:00,57.24333191,46.01366806,1.200000048,496.7999878,5,23.3,1005.900024,472.2920227,22.78233337
2021-09-07 11:55:00,57.3551712,46.12413788,1.482758641,488.8965454,4,23.3,1005.799988,470.29245,22.7089653
2021-09-07 12:00:00,57.17333221,46.07733154,1.433333278,484.5666809,11,23.3,1005.89679,469.6800842,22.88233376
2021-09-07 12:05:00,57.20000076,45.88466644,1.066666722,481.7333374,10,23.3,1005.799988,470.6991577,23.44400024
2021-09-07 12:10:00,57.2266655,46.19400024,1.266666651,481.7666626,5,23.3,1005.799988,472.8754272,23.6079998
2021-09-07 12:15:00,57.13000107,46.51699829,1.200000048,485.1333313,7,23.3,1005.700012,474.8908691,23.77633286
2021-09-07 12:20:00,56.98333359,46.93999863,1.433333278,482.2999878,7,23.3,1005.599976,475.6903076,23.90399933
2021-09-07 12:25:00,56.79285812,47.41178513,1.464285731,482.9285583,5,23.3,1005.599976,475.6907043,23.98357201
2021-09-07 12:30:00,57.05333328,47.88100052,1.333333373,482.9666748,7,23.3,1005.299988,478.4889832,24.06633377
2021-09-07 12:35:00,57.0,48.21774292,1.516129017,481.580658,3,23.3,1005.099976,480.4885559,24.13871002
2021-09-07 12:40:00,56.97999954,48.63899994,1.5,478.2333374,5,23.3,1005.099976,480.2724609,24.18066597
2021-09-07 12:45:00,57.04333496,49.02033234,1.766666651,476.2333374,3,23.3,1005.099976,479.289032,24.23633385
2021-09-07 12:50:00,56.8344841,49.24930954,1.758620739,474.6551819,4,23.3,1004.799988,478.1893311,24.32586288
2021-09-07 12:55:00,57.05333328,49.48666763,1.700000048,477.2333374,3,23.3,1004.799988,478.0895386,24.3920002
2021-09-07 13:00:00,57.42333221,49.83066559,1.766666651,478.7333374,2,23.3,1004.700012,477.4735107,24.4260006
2021-09-07 13:05:00,57.51333237,50.20133209,1.866666675,477.7999878,8,23.5,1004.599976,477.2897949,24.44566727
2021-09-07 13:10:00,57.38333511,50.52266693,1.566666722,476.4333191,3,23.4,1004.400024,477.489563,24.48266602
2021-09-07 13:15:00,57.03928757,50.78392792,1.821428537,477.3571472,5,23.5,1004.299988,477.6899109,24.52750015
2021-09-07 13:20:00,57.16666794,51.07600021,1.899999976,476.2000122,10,23.4,1004.099976,478.2895508,24.5510006
2021-09-07 13:25:00,57.02999878,51.25799942,1.866666675,476.8333435,7,23.3,1004.099976,479.8889465,24.60566711
2021-09-07 13:30:00,57.09000015,51.56999969,1.899999976,473.9333191,4,23.5,1003.900024,478.7041016,24.61400032
2021-09-07 13:35:00,57.09000015,51.86233521,1.933333278,471.6666565,6,23.4,1003.900024,477.9058533,24.63966751
2021-09-07 13:40:00,56.98275757,52.14896393,2.034482718,474.4482727,7,23.5,1003.799988,479.4889526,24.65758705
