sound_pressure_level [dba],air_temperature [Celsius],pm2.5 [mu_g/m3],indoor_co2 [ppm],new_time,outdoor_relative_humidity [%],fcu_fan_speed [Hz],occupant_count [number],illuminance [lux]
57.46333313,25.30066681,2.033333302,460.9333191,2021-09-07 17:45:00,55.30018234,27.20224571,9,0.0
57.54333496,25.31599998,2.099999905,461.5333252,2021-09-07 17:50:00,57.30071259,27.20224571,9,0.0
57.77999878,25.31166649,2.133333445,462.3333435,2021-09-07 17:55:00,66.19999695,27.20224571,9,0.0
57.77241516,25.33655167,2.103448391,460.379303,2021-09-07 18:00:00,67.59999847,27.20224571,6,0.0
57.59999847,25.35366631,1.966666698,458.6666565,2021-09-07 18:05:00,68.50002289,27.20224571,6,0.0
57.66666794,25.39366722,2.033333302,459.6000061,2021-09-07 18:10:00,67.80007935,27.20224571,5,0.0
57.71666718,25.37599945,2.099999905,455.7666626,2021-09-07 18:15:00,68.0,27.20224571,5,0.0
57.72999954,25.4279995,2.0,454.1333313,2021-09-07 18:20:00,67.5,27.20224571,8,0.0
57.31428528,25.40464211,2.142857075,437.5714417,2021-09-07 18:25:00,65.69989777,27.20224571,11,0.0
57.81999969,25.38566589,2.099999905,446.8666687,2021-09-07 18:30:00,67.90000153,27.20224571,12,0.0
57.88333511,25.43133354,2.033333302,455.3666687,2021-09-07 18:35:00,68.70001221,27.20224571,11,0.0
57.95333481,25.40433311,2.066666603,451.8666687,2021-09-07 18:40:00,69.09994507,27.20224571,11,0.0
57.83666611,25.43733406,2.166666746,453.7000122,2021-09-07 18:45:00,69.0,27.20224571,13,0.0
57.85861969,25.45724106,2.206896544,455.8965454,2021-09-07 18:50:00,69.20001984,27.20224571,13,0.0
57.82666779,25.47633362,2.366666555,451.3666687,2021-09-07 18:55:00,70.20001221,28.24494171,13,0.0
57.77999878,25.47166634,2.233333349,452.7999878,2021-09-07 19:00:00,71.0,27.21069145,13,0.0
57.80333328,25.44166756,2.333333254,455.7333374,2021-09-07 19:05:00,71.59993744,27.21069145,13,0.0
57.85666656,25.46533394,2.400000095,456.0333252,2021-09-07 19:10:00,71.50003815,27.21069145,13,0.0
57.46785736,25.50392914,2.321428537,453.8214417,2021-09-07 19:15:00,72.30007935,27.21069145,13,0.0
57.62666702,25.49500084,2.299999952,455.5333252,2021-09-07 19:20:00,72.80005646,27.21069145,13,0.0
57.7266655,25.49133301,2.200000048,453.8666687,2021-09-07 19:25:00,72.90000153,27.64968872,13,0.0
57.55333328,25.49699974,2.200000048,456.8666687,2021-09-07 19:30:00,73.3000412,27.3047657,13,0.0
57.55333328,25.44766617,2.066666603,453.6000061,2021-09-07 19:35:00,73.80001068,27.3047657,13,0.0
57.53333282,25.47800064,2.233333349,453.5666809,2021-09-07 19:40:00,74.10007477,27.3047657,13,0.0
57.60689545,25.48999977,2.206896544,449.8620605,2021-09-07 19:45:00,75.89998627,27.3047657,13,0.0
57.63999939,25.51166725,2.200000048,449.0333252,2021-09-07 19:50:00,74.19994354,27.3047657,13,0.0
57.66333389,25.54400063,2.066666603,448.0,2021-09-07 19:55:00,72.29998016,27.3047657,13,0.0
57.52000046,25.51066589,2.099999905,449.4666748,2021-09-07 20:00:00,72.69997406,27.3047657,13,0.0
57.65172577,25.50827599,2.206896544,448.5172424,2021-09-07 20:05:00,69.80000305,27.3047657,13,0.0
57.28275681,25.57379341,2.206896544,448.758606,2021-09-07 20:10:00,67.79998016,27.3047657,12,0.0
57.76333237,25.56100082,2.233333349,450.6000061,2021-09-07 20:15:00,67.79989624,27.3047657,13,0.0
57.64333344,25.57733345,2.166666746,448.9666748,2021-09-07 20:20:00,67.70006561,27.3047657,13,0.0
57.6566658,25.54100037,2.200000048,450.2000122,2021-09-07 20:25:00,67.40001678,27.3047657,13,0.0
57.63999939,25.54766655,2.333333254,454.7666626,2021-09-07 20:30:00,67.69991302,27.3047657,12,0.0
57.70344925,25.56965446,2.103448391,456.5862122,2021-09-07 20:35:00,66.99996948,27.3047657,12,0.0
57.8133316,25.5529995,2.266666651,453.2333374,2021-09-07 20:40:00,65.5,27.3047657,12,0.0
