Atmospheric Pressure,indoor_relative_humidity [%],air_temperature [Celsius],pm2.5 [mu_g/m3],indoor_co2 [ppm],occupant_count [number],voc [ppb]
57.97,57.24,25.41,1.03,456.83,24,20.0
55.85,56.85,25.59,1.07,463.04,22,21.8571434
56.25,56.97,25.71,1.1,483.57,27,31.93333244
56.07,56.95,25.81,1.03,491.23,24,27.89999962
56.22,57.18,25.84,1.2,507.9,32,23.83333397
56.17,57.37,25.89,1.37,518.47,23,20.86666679
56.2,57.67,25.96,1.13,525.77,22,20.03333282
56.23,57.87,25.99,1.2,540.1,21,20.0
56.05,57.98,26.04,1.13,548.2,31,20.0
56.1,58.21,26.07,1.17,556.69,32,20.0
56.11,58.49,26.09,1.1,566.7,19,20.0
57.18,58.72,26.12,1.1,564.28,20,20.0
55.71,58.76,26.17,1.17,567.17,17,28.03448296
56.0,58.87,26.21,1.13,572.6,24,25.5
55.88,59.13,26.22,1.23,586.17,18,23.10000038
56.0,59.17,26.26,1.17,591.83,22,20.46666718
56.08,59.3,26.31,1.2,595.47,19,20.03333282
57.47,59.43,26.33,1.03,594.13,30,20.0
57.43,59.58,26.37,1.03,597.13,27,20.0
56.64,59.82,26.35,1.0,598.34,30,20.0
56.07,60.09,26.34,1.13,599.9,27,20.0
56.04,60.39,26.36,1.17,607.17,26,93.1333313
56.52,60.28,26.39,1.07,609.96,33,24.1428566
56.0,60.49,26.32,1.16,585.48,30,20.0
56.02,61.14,26.13,1.03,556.97,27,20.0
56.06,61.34,26.11,1.0,543.5,29,20.0
56.11,61.55,26.06,1.07,540.33,30,20.0
56.09,61.55,26.07,1.0,538.53,21,20.0
56.04,61.62,26.05,1.03,532.83,29,20.0
56.06,61.78,26.03,1.0,528.2,24,20.0
56.06,61.96,25.99,1.07,525.66,27,20.0
55.99,62.07,25.99,1.0,521.53,30,20.0
55.66,62.21,25.97,1.04,516.96,32,21.8928566
56.09,62.3,25.97,1.0,513.83,24,25.29999924
56.05,62.56,25.91,1.03,512.77,27,20.76666641
56.05,62.47,25.95,0.97,507.43,31,20.0
56.03,62.61,25.93,1.0,504.8,30,20.0
56.0,62.67,25.94,1.0,504.27,18,20.0
56.02,62.76,25.95,1.0,502.9,29,20.0
55.99,62.94,25.91,1.0,501.17,29,20.0
56.0,63.05,25.91,1.07,501.24,17,20.0
56.01,63.12,25.91,1.0,500.83,17,20.0
55.74,63.17,25.92,1.0,497.07,24,20.0
55.94,63.15,25.94,1.0,493.8,22,23.36666679
56.02,63.26,25.95,0.93,492.7,22,20.39999962
55.98,63.28,25.97,1.0,493.1,33,20.0
55.97,63.51,25.93,0.93,492.4,27,20.0
55.95,63.67,25.89,1.03,490.63,29,20.0
55.92,63.72,25.89,0.9,489.73,26,20.0
55.98,63.85,25.9,0.93,488.23,22,20.0
55.96,63.9,25.92,1.0,487.1,35,20.0
55.94,63.92,25.93,0.93,483.8,26,20.0
56.02,64.28,25.86,1.0,483.03,33,20.0
55.72,64.26,25.87,1.0,482.46,20,29.1071434
56.02,64.46,25.84,1.0,481.03,18,28.10000038
56.08,64.44,25.87,0.97,479.47,32,21.79999924
56.05,64.46,25.88,1.0,477.3,16,20.03333282
56.04,64.57,25.87,1.03,475.57,28,20.0
56.06,64.61,25.88,1.07,476.57,23,20.0
56.05,64.86,25.84,1.07,477.93,29,20.0
56.06,64.92,25.84,1.07,476.87,24,20.0
56.06,65.05,25.83,0.97,470.97,29,20.0
56.02,65.11,25.83,1.0,469.77,22,20.0
55.64,65.43,25.77,1.04,470.5,22,23.4642849
56.03,65.52,25.75,1.0,471.67,28,26.5
55.98,65.5,25.78,1.0,472.43,24,21.93333244
56.0,65.5,25.81,1.03,470.9,16,20.10000038
55.95,65.46,25.84,1.0,468.0,16,20.0
55.98,65.56,25.83,1.07,465.4,23,20.0
55.99,65.87,25.75,1.03,461.27,16,20.0
55.99,65.75,25.81,1.1,460.87,23,20.0
56.0,65.86,25.8,1.14,459.38,32,20.0
55.99,65.86,25.81,1.03,458.93,23,20.0
55.67,66.0,25.79,1.04,456.36,32,20.1785717
55.99,66.19,25.75,1.03,455.83,31,28.5
56.04,66.32,25.75,1.13,453.13,27,23.36666679
